"","Population(F.val)","Population(raw.p)","Population(adj.p)","Acclimation(F.val)","Acclimation(raw.p)","Acclimation(adj.p)","Interaction(F.val)","Interaction(raw.p)","Interaction(adj.p)"
"X7.61519",4.9681,0.0032261,0.023248,2.15,0.081958,0.21022,0.95281,0.49998,0.70034
"X3.52704",4.9112,0.003453,0.024495,9.682,1.8326e-06,5.943e-05,1.5043,0.13936,0.64938
"X7.19435",4.8842,0.0035664,0.024765,2.2516,0.070525,0.19464,0.69005,0.75646,0.83155
"X8.79755",4.8764,0.0036003,0.024765,13.043,2.8911e-08,2.6251e-06,1.6136,0.10379,0.64938
"X1.46292",4.8003,0.0039438,0.026724,2.1753,0.078954,0.20366,1.6957,0.082687,0.64938
"X6.05207",4.727,0.0043065,0.028752,1.5814,0.18703,0.37463,0.90754,0.54318,0.71911
"X1.82364",4.6903,0.0045004,0.029611,5.9139,0.00031226,0.0038776,0.75355,0.69528,0.78327
"X8.23643",4.5996,0.0050195,0.032555,4.0193,0.0050088,0.027692,0.63659,0.8051,0.8641
"X4.76952",4.5516,0.0053178,0.034004,3.5181,0.010599,0.048607,0.43649,0.94402,0.95666
"X9.29855",4.5197,0.0055261,0.034651,3.3411,0.013823,0.058106,1.7811,0.06496,0.64938
"X8.47691",4.5129,0.0055716,0.034651,2.4024,0.056381,0.16621,0.94827,0.50425,0.70034
"X1.44288",4.4229,0.0062113,0.038107,5.5229,0.00054852,0.0060739,3.0066,0.00157,0.28717
"X1.58316",4.3878,0.0064802,0.039227,2.083,0.090452,0.22563,1.4186,0.17427,0.64938
"X9.13823",4.2506,0.00765,0.045698,1.7044,0.1569,0.32676,0.48759,0.9166,0.93513
"X2.04408",4.2114,0.0080224,0.047301,1.2564,0.29388,0.50211,1.2434,0.26864,0.64947
"X4.92984",4.1937,0.0081959,0.047704,1.0044,0.41014,0.61862,0.60238,0.83426,0.87687
"X2.94588",4.1504,0.008638,0.049641,3.3348,0.013953,0.058118,1.0906,0.37908,0.6781
"X4.06812",4.0131,0.010206,0.056504,5.3254,0.00073047,0.0073697,1.3872,0.18884,0.64938
"X2.58516",3.8261,0.012814,0.067618,5.8729,0.00033115,0.0038807,1.7337,0.074303,0.64938
"X3.66732",3.817,0.012958,0.067618,4.0425,0.0048384,0.027692,1.8709,0.050193,0.64938
"X7.11419",3.7618,0.01386,0.071504,3.5801,0.0096587,0.046158,1.0318,0.42847,0.69363
"X9.25847",3.7493,0.014074,0.071612,4.0448,0.0048219,0.027692,1.3385,0.21337,0.64938
"X7.85567",3.6612,0.015671,0.078185,3.8299,0.0066454,0.034284,1.6413,0.096178,0.64938
"X5.37071",3.5868,0.017164,0.082026,6.7611,9.3896e-05,0.001421,1.1531,0.33067,0.66442
"X7.49495",3.3425,0.02315,0.10725,5.2207,0.00085077,0.0079048,0.52571,0.89224,0.91854
"X7.03403",3.0596,0.032766,0.14147,4.0135,0.0050527,0.027692,1.4115,0.17749,0.64938
"X8.05607",3.0475,0.033257,0.14147,10.379,7.51e-07,3.0996e-05,1.6271,0.10001,0.64938
"X1.66332",3.0175,0.034503,0.14504,4.4845,0.0025095,0.018677,1.1791,0.31186,0.64947
"X8.81759",2.9766,0.036283,0.14925,8.7924,5.8748e-06,0.00015689,1.6841,0.085403,0.64938
"X2.6052",2.9655,0.036781,0.14925,16.067,9.4218e-10,1.4258e-07,1.4595,0.15679,0.64938
"X3.2064",2.9647,0.036819,0.14925,6.9771,6.9405e-05,0.0011254,1.6538,0.092919,0.64938
"X6.87371",2.9391,0.037996,0.15132,5.8683,0.00033337,0.0038807,0.80531,0.64403,0.76516
"X3.62724",2.8917,0.040278,0.15629,3.531,0.010396,0.04816,0.55077,0.87454,0.90648
"X7.65527",2.8753,0.041096,0.15812,3.7044,0.0080177,0.039566,1.7679,0.067446,0.64938
"X7.67531",2.8682,0.041458,0.15817,5.2841,0.00077568,0.0076557,2.4349,0.0092453,0.4216
"X8.19635",2.7169,0.04994,0.18138,5.9056,0.00031601,0.0038776,0.84836,0.60124,0.7458
"X9.09815",2.6311,0.055499,0.19181,5.2474,0.0008183,0.0079044,1.6578,0.091897,0.64938
"X3.36672",2.6272,0.055768,0.19181,7.2404,4.8141e-05,0.00084062,1.6446,0.095295,0.64938
"X2.08416",2.6031,0.057447,0.19258,9.8095,1.5545e-06,5.445e-05,2.6373,0.0049497,0.37453
"X6.67331",2.5937,0.058112,0.19258,11.362,2.1943e-07,1.1069e-05,0.84524,0.60434,0.7463
"X1.7034",2.5503,0.061304,0.20023,4.098,0.0044543,0.027692,1.6261,0.10029,0.64938
"X7.09415",2.5202,0.063609,0.20481,3.9548,0.0055146,0.029454,0.86599,0.58381,0.73421
"X7.51499",2.1091,0.10537,0.28562,3.8221,0.0067232,0.034296,1.267,0.25397,0.64938
"X2.7054",2.0564,0.11239,0.30015,5.0113,0.0011553,0.0098962,0.59811,0.83777,0.87687
"X6.79355",2.0356,0.11529,0.30609,4.2991,0.0033033,0.022723,0.97663,0.47784,0.69981
"X4.28856",2.0024,0.12006,0.31508,16.763,4.4504e-10,1.4258e-07,1.2311,0.27656,0.64947
"X5.35067",1.9261,0.13177,0.33184,6.3637,0.00016443,0.0022622,1.589,0.11099,0.64938
"X3.98796",1.8746,0.14032,0.34622,3.8345,0.0066003,0.034284,1.1135,0.36083,0.6781
"X5.19035",1.8615,0.14258,0.34989,4.195,0.0038556,0.025006,0.82425,0.62518,0.76095
"X4.1082",1.8473,0.14506,0.35218,8.6039,7.5482e-06,0.00017111,0.809,0.64036,0.76516
"X4.12824",1.8331,0.14757,0.35637,4.3487,0.0030686,0.021768,1.4045,0.18071,0.64938
"X3.58716",1.6642,0.18112,0.40337,5.1412,0.00095538,0.0086749,1.2074,0.29225,0.64947
"X5.21039",1.6636,0.18125,0.40337,4.1794,0.0039463,0.025131,1.4408,0.1646,0.64938
"X2.86572",1.6305,0.18866,0.4178,4.4165,0.0027751,0.020321,2.3152,0.013333,0.50445
"X4.3086",1.6181,0.19149,0.42203,5.0166,0.0011464,0.0098962,1.3178,0.22457,0.64938
"X1.64328",1.6018,0.19528,0.42607,4.3862,0.0029027,0.020918,1.6171,0.1028,0.64938
"X4.4088",1.6003,0.19565,0.42607,8.1584,1.3723e-05,0.00027088,1.3343,0.21557,0.64938
"X2.4048",1.5903,0.19802,0.42607,3.5406,0.010248,0.047965,2.7817,0.0031626,0.28717
"X6.65327",1.4544,0.23308,0.47374,7.2618,4.6737e-05,0.00084062,1.0031,0.45376,0.69363
"X2.62524",1.4093,0.24599,0.48983,4.6901,0.001852,0.014497,0.97121,0.48284,0.70034
"X6.81359",1.4022,0.24807,0.4918,5.3498,0.00070504,0.0072747,1.085,0.38363,0.6781
"X3.68736",1.3787,0.25511,0.50139,4.0385,0.0048674,0.027692,0.55996,0.86773,0.90356
"X8.29655",1.3072,0.27768,0.52361,4.3129,0.0032361,0.022603,0.57203,0.85854,0.89604
"X6.97391",1.0912,0.35761,0.58523,4.0123,0.0050613,0.027692,0.99747,0.45885,0.69906
"X7.17431",0.90594,0.44194,0.64933,4.1728,0.0039855,0.025131,0.49207,0.9139,0.93449
"X1.9038",0.79558,0.49982,0.69349,3.6585,0.0085882,0.041925,1.5266,0.13133,0.64938
"X3.44688",0.67981,0.56689,0.73541,4.0121,0.0050627,0.027692,0.75495,0.69391,0.78327
"X3.18636",0.67971,0.56695,0.73541,4.8176,0.0015352,0.012446,2.8548,0.0025188,0.28717
"X5.33063",0.61222,0.60899,0.75788,3.8954,0.0060261,0.031812,1.7205,0.077128,0.64938
"X1.86372",0.57103,0.63566,0.77163,12.153,8.3565e-08,5.4198e-06,2.273,0.015162,0.52949
"X3.72744",0.55424,0.64675,0.78045,4.2283,0.0036693,0.024143,1.9807,0.036411,0.64938
"X2.64528",0.50367,0.68081,0.80873,3.7448,0.0075473,0.037653,1.0952,0.37532,0.6781
"X3.64728",0.49327,0.68794,0.81123,6.2641,0.00018942,0.0025293,0.98205,0.47287,0.69907
